name,glacier,dating,spot,date,time,lon,lat
adigi_1765_a1,Adigine,1765,A,2019-09-27,,74.44867,42.5262
adigi_1765_b1,Adigine,1765,B,2019-09-27,,74.44867,42.52631
adigi_1765_c1,Adigine,1765,C,2019-09-27,,74.44877,42.52644
adigi_1765_d1,Adigine,1765,D,2019-09-27,,74.4485,42.52663
adigi_1765_e1,Adigine,1765,E,2019-09-27,,74.44912,42.52672
adigi_1949_a1,Adigine,1949,A,2019-09-27,,74.444223,42.51873
adigi_1949_b1,Adigine,1949,B,2019-09-27,,74.44432,42.51887
adigi_1949_c1,Adigine,1949,C,2019-09-27,,74.4444,42.51902
adigi_1949_d1,Adigine,1949,D,2019-09-27,,74.4448,42.51916
adigi_1949_e1,Adigine,1949,E,2019-09-27,,74.44409,42.51852
adigi_1963_a1,Adigine,1963,A,2019-09-26,,74.437895,42.513342
adigi_1963_b1,Adigine,1963,B,2019-09-26,,74.438057,42.513345
adigi_1963_c1,Adigine,1963,C,2019-09-26,,74.437949,42.513377
adigi_1963_d1,Adigine,1963,D,2019-09-26,,74.437788,42.513348
adigi_1963_e1,Adigine,1963,E,2019-09-26,,74.437628,42.51322
adigi_1981_a1,Adigine,1981,A,2019-09-26,,74.43656,42.51046
adigi_1981_f1,Adigine,1981,A,2019-09-26,,74.43786,42.51025
adigi_1981_b1,Adigine,1981,B,2019-09-26,,74.43634,42.51056
adigi_1981_g1,Adigine,1981,B,2019-09-26,,74.43755,42.51043
adigi_1981_c1,Adigine,1981,C,2019-09-26,,74.43626,42.51053
adigi_1981_h1,Adigine,1981,C,2019-09-26,,74.43784,42.51036
adigi_1981_d1,Adigine,1981,D,2019-09-26,,74.43643,42.51071
adigi_1981_i1,Adigine,1981,D,2019-09-26,,74.43774,42.51037
adigi_1981_e1,Adigine,1981,E,2019-09-26,,74.4365,42.5106
adigi_1981_j1,Adigine,1981,E,2019-09-26,,74.437669,42.51037
adigi_2010_a1,Adigine,2010,A,2019-09-26,,74.4369,42.50767
adigi_2010_b1,Adigine,2010,B,2019-09-26,,74.43694,42.507655
adigi_2010_c1,Adigine,2010,C,2019-09-26,,74.4369,42.50775
adigi_2010_d1,Adigine,2010,D,2019-09-26,,74.43684,42.5077
adigi_2010_e1,Adigine,2010,E,2019-09-26,,74.4368,42.50778
agola_1850_a1,Agola,1850,A,28/09/2018,14:52,10.85093,46.15404
agola_1850_b1,Agola,1850,B,28/09/2018,14:58,10.85075,46.15408
agola_1850_c1,Agola,1850,C,28/09/2018,15:02,10.85049,46.15407
agola_1850_d1,Agola,1850,D,28/09/2018,15:07,10.85027,46.15406
agola_1850_e1,Agola,1850,E,28/09/2018,15:11,10.85013,46.15395
agola_1908_a1,Agola,1908,A,28/09/2018,14:01,10.85208,46.15328
agola_1908_b1,Agola,1908,B,28/09/2018,14:07,10.85183,46.15321
agola_1908_c1,Agola,1908,C,28/09/2018,14:16,10.85158,46.15313
agola_1908_d1,Agola,1908,D,28/09/2018,14:21,10.85152,46.15299
