Glacier	uniqPlot	Year	Plot	lon	lat	sper.q1	bact.q1	coll.q1	olig.q1	inse.q1	euka.uni.q1	euka.ani.q1	fung.q1	sper.q0	bact.q0	coll.q0	olig.q0	inse.q0	euka.uni.q0	euka.ani.q0	fung.q0	glacier	time	ph1	c	n	p	ph	lg_n	lg_p	lg_time	ndvi	twi	meanT_new								
agola	agola_1850_a	1850	a	10.85093	46.15404	2.402223858	23.04719647	1.355135784	1	1	3.203803242	7.427321333	12.95779675	5	29	2	1	1	10	10	62	Agola	168	8.43	12.52184582	0	2697.916013	8.43	-4.605170186	7.900234907	5.123963979	0.116497921	11.02921652	5.82932809								
agola	agola_1850_b	1850	b	10.85075	46.15408	2.756724031	38.77408776	1.301293412	1	1	2.789005269	2.005599959	16.47997238	3	134	2	0	1	3	4	53	Agola	168	8.43	12.62933064	0.038210567	3515.145581	8.43	-3.032177048	8.16483622	5.123963979	0.109927192	11.02921652	5.82932809								
agola	agola_1850_c	1850	c	10.85049	46.15407	2.755078421	100.8572784	1	1	1	1	1	5.407323855	3	174	0	1	0	0	1	7	Agola	168	8.54	12.53376102	0	1209.432739	8.54	-4.605170186	7.097906718	5.123963979	0.108025493	11.33230003	5.908130065								
agola	agola_1850_d	1850	d	10.85027	46.15406	1	90.99735624	1	1	1	1	1.943834953	6.394437357	0	132	0	0	1	0	2	18	Agola	168	8.49	12.56068325	0.021727243	1192.202883	8.49	-3.450579553	7.083558037	5.123963979	0.113106334	11.33230003	5.908130065								
agola	agola_1850_e	1850	e	10.85013	46.15395	1.06508388	42.18562768	1	1	1	2.982326863	1	20.24588228	2	60	0	0	0	3	1	39	Agola	168	8.21	12.7024107	0.040291604	3312.939984	8.21	-2.989917141	8.105591287	5.123963979	0.121187842	11.40337868	5.962773308								
agola	agola_1908_a	1908	a	10.85208	46.15328	1	16.86178669	1	1	1	1	1	2.312303987	0	23	0	0	0	0	0	3	Agola	110	8.69	12.5786	0.033	729.7244975	8.69	-3.146555163	6.592667062	4.700480366	0.100801766	10.75515459	8.487966885								
agola	agola_1908_b	1908	b	10.85183	46.15321	1	13.26202278	1	1	1	1	1	1	0	18	0	0	1	0	0	1	Agola	110	8.65	12.6659	0.0308	1328.172851	8.65	-3.199073198	7.191559481	4.700480366	0.106774683	10.75515459	8.487966885								
agola	agola_1908_c	1908	c	10.85158	46.15313	1	5.914214848	1	1	1	1	1	1	0	7	0	0	0	0	0	1	Agola	110	8.58	12.6251	0	865.6249705	8.58	-4.605170186	6.763451755	4.700480366	0.114270369	10.66316107	8.57339867								
agola	agola_1908_d	1908	d	10.85152	46.15299	1	96.71764528	1	1	1	1	1	3.854627914	0	159	0	0	1	0	0	5	Agola	110	8.34	12.7376	0.0321	780.2603356	8.34	-3.167707538	6.659627628	4.700480366	0.10002578	13.11158871	8.572981556								
agola	agola_1908_e	1908	e	10.85138	46.15282	1.464117314	16.58448736	1	1	1	1	1	1	2	26	0	0	0	0	0	1	Agola	110	8.49	12.7299	0.0191	447.3126521	8.49	-3.537017105	6.103257795	4.700480366	0.102313749	13.11158871	8.572981556								
